sk_tiempo,Fecha,Mes,Anio,Trimestre,DiaSemana,Temporada
383,2023-04-16,4,2023,2,1,2022/2023
384,2023-04-17,4,2023,2,2,2022/2023
385,2023-04-21,4,2023,2,6,2022/2023
386,2023-04-22,4,2023,2,7,2022/2023
387,2023-04-23,4,2023,2,1,2022/2023
388,2023-04-25,4,2023,2,3,2022/2023
389,2023-04-26,4,2023,2,4,2022/2023
390,2023-04-27,4,2023,2,5,2022/2023
391,2023-04-28,4,2023,2,6,2022/2023
392,2023-04-29,4,2023,2,7,2022/2023
393,2023-04-30,4,2023,2,1,2022/2023
394,2023-05-01,5,2023,2,2,2022/2023
395,2023-05-02,5,2023,2,3,2022/2023
396,2023-05-03,5,2023,2,4,2022/2023
397,2023-05-04,5,2023,2,5,2022/2023
398,2023-05-12,5,2023,2,6,2022/2023
399,2023-05-13,5,2023,2,7,2022/2023
400,2023-05-14,5,2023,2,1,2022/2023
401,2023-05-15,5,2023,2,2,2022/2023
402,2023-05-19,5,2023,2,6,2022/2023
403,2023-05-20,5,2023,2,7,2022/2023
404,2023-05-21,5,2023,2,1,2022/2023
405,2023-05-23,5,2023,2,3,2022/2023
406,2023-05-24,5,2023,2,4,2022/2023
407,2023-05-25,5,2023,2,5,2022/2023
408,2023-05-27,5,2023,2,7,2022/2023
409,2023-05-28,5,2023,2,1,2022/2023
410,2023-06-04,6,2023,2,1,2022/2023
411,2023-08-11,8,2023,3,6,2023/2024
412,2023-08-12,8,2023,3,7,2023/2024
413,2023-08-13,8,2023,3,1,2023/2024
414,2023-08-14,8,2023,3,2,2023/2024
415,2023-08-18,8,2023,3,6,2023/2024
416,2023-08-19,8,2023,3,7,2023/2024
417,2023-08-20,8,2023,3,1,2023/2024
418,2023-08-21,8,2023,3,2,2023/2024
419,2023-08-25,8,2023,3,6,2023/2024
420,2023-08-26,8,2023,3,7,2023/2024
421,2023-08-27,8,2023,3,1,2023/2024
422,2023-08-28,8,2023,3,2,2023/2024
423,2023-09-01,9,2023,3,6,2023/2024
424,2023-09-02,9,2023,3,7,2023/2024
425,2023-09-03,9,2023,3,1,2023/2024
426,2023-09-15,9,2023,3,6,2023/2024
427,2023-09-16,9,2023,3,7,2023/2024
428,2023-09-17,9,2023,3,1,2023/2024
429,2023-09-18,9,2023,3,2,2023/2024
430,2023-09-22,9,2023,3,6,2023/2024
431,2023-09-23,9,2023,3,7,2023/2024
432,2023-09-24,9,2023,3,1,2023/2024
433,2023-09-26,9,2023,3,3,2023/2024
434,2023-09-27,9,2023,3,4,2023/2024
435,2023-09-28,9,2023,3,5,2023/2024
436,2023-09-29,9,2023,3,6,2023/2024
437,2023-09-30,9,2023,3,7,2023/2024
438,2023-10-01,10,2023,4,1,2023/2024
439,2023-10-02,10,2023,4,2,2023/2024
440,2023-10-06,10,2023,4,6,2023/2024
441,2023-10-07,10,2023,4,7,2023/2024
442,2023-10-08,10,2023,4,1,2023/2024
443,2023-10-20,10,2023,4,6,2023/2024
444,2023-10-21,10,2023,4,7,2023/2024
445,2023-10-22,10,2023,4,1,2023/2024
446,2023-10-23,10,2023,4,2,2023/2024
447,2023-10-27,10,2023,4,6,2023/2024
448,2023-10-28,10,2023,4,7,2023/2024
449,2023-10-29,10,2023,4,1,2023/2024
450,2023-10-30,10,2023,4,2,2023/2024
451,2023-11-03,11,2023,4,6,2023/2024
452,2023-11-04,11,2023,4,7,2023/2024
453,2023-11-05,11,2023,4,1,2023/2024
454,2023-11-06,11,2023,4,2,2023/2024
455,2023-11-10,11,2023,4,6,2023/2024
456,2023-11-11,11,2023,4,7,2023/2024
457,2023-11-12,11,2023,4,1,2023/2024
458,2023-11-24,11,2023,4,6,2023/2024
459,2023-11-25,11,2023,4,7,2023/2024
460,2023-11-26,11,2023,4,1,2023/2024
461,2023-11-27,11,2023,4,2,2023/2024
462,2023-11-29,11,2023,4,4,2023/2024
463,2023-12-01,12,2023,4,6,2023/2024
464,2023-12-02,12,2023,4,7,2023/2024
465,2023-12-03,12,2023,4,1,2023/2024
466,2023-12-04,12,2023,4,2,2023/2024
467,2023-12-08,12,2023,4,6,2023/2024
468,2023-12-09,12,2023,4,7,2023/2024
469,2023-12-10,12,2023,4,1,2023/2024
470,2023-12-11,12,2023,4,2,2023/2024
471,2023-12-15,12,2023,4,6,2023/2024
472,2023-12-16,12,2023,4,7,2023/2024
473,2023-12-17,12,2023,4,1,2023/2024
474,2023-12-18,12,2023,4,2,2023/2024
475,2023-12-19,12,2023,4,3,2023/2024
476,2023-12-20,12,2023,4,4,2023/2024
477,2023-12-21,12,2023,4,5,2023/2024
478,2023-12-23,12,2023,4,7,2023/2024
479,2024-01-02,1,2024,1,3,2023/2024
480,2024-01-03,1,2024,1,4,2023/2024
481,2024-01-04,1,2024,1,5,2023/2024
482,2024-01-12,1,2024,1,6,2023/2024
483,2024-01-13,1,2024,1,7,2023/2024
484,2024-01-14,1,2024,1,1,2023/2024
485,2024-01-19,1,2024,1,6,2023/2024
486,2024-01-20,1,2024,1,7,2023/2024
487,2024-01-21,1,2024,1,1,2023/2024
488,2024-01-22,1,2024,1,2,2023/2024
489,2024-01-26,1,2024,1,6,2023/2024
490,2024-01-27,1,2024,1,7,2023/2024
491,2024-01-28,1,2024,1,1,2023/2024
492,2024-01-29,1,2024,1,2,2023/2024
493,2024-01-31,1,2024,1,4,2023/2024
494,2024-02-01,2,2024,1,5,2023/2024
495,2024-02-02,2,2024,1,6,2023/2024
496,2024-02-03,2,2024,1,7,2023/2024
497,2024-02-04,2,2024,1,1,2023/2024
498,2024-02-05,2,2024,1,2,2023/2024
499,2024-02-09,2,2024,1,6,2023/2024
500,2024-02-10,2,2024,1,7,2023/2024
501,2024-02-11,2,2024,1,1,2023/2024
502,2024-02-12,2,2024,1,2,2023/2024
503,2024-02-16,2,2024,1,6,2023/2024
504,2024-02-17,2,2024,1,7,2023/2024
505,2024-02-18,2,2024,1,1,2023/2024
506,2024-02-19,2,2024,1,2,2023/2024
507,2024-02-23,2,2024,1,6,2023/2024
508,2024-02-24,2,2024,1,7,2023/2024
509,2024-02-25,2,2024,1,1,2023/2024
510,2024-02-26,2,2024,1,2,2023/2024
511,2024-03-01,3,2024,1,6,2023/2024
512,2024-03-02,3,2024,1,7,2023/2024
513,2024-03-03,3,2024,1,1,2023/2024
514,2024-03-04,3,2024,1,2,2023/2024
515,2024-03-08,3,2024,1,6,2023/2024
516,2024-03-09,3,2024,1,7,2023/2024
